Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
Wald ratio,1,66.35315496748443,0.154586143522311,0.05993883727148866,0.009906820971665509,1.167174818276987,ZNF181
Wald ratio,1,29.446048331480394,-0.09156947709271479,0.04962455275803148,0.06500185080371401,0.912497916247287,ZBTB32
Wald ratio,1,103.82911477526805,-0.13057627289115145,0.050728222942600945,0.010051980883855505,0.8775895541034255,ZNF404
Wald ratio,1,39.39722316101088,0.03573275604573165,0.08488773330223111,0.6737979183687319,1.0363788434986283,PVR
Wald ratio,1,24.241043326213283,-0.09412383454110893,0.05530804004367846,0.08879079155279923,0.9101700447719275,KLC3
Wald ratio,1,258.27789963664645,0.05462572038753303,0.026952176025543135,0.04268647670621539,1.0561452470573127,SULT2B1
Wald ratio,1,25.643258045696157,0.11535861739086653,0.08395158854035548,0.16940790491124114,1.1222758330456977,MAMSTR
Wald ratio,1,32.54111169984535,-0.13494142017180738,0.09291486933736694,0.14641475132948734,0.8737670953151797,HAS1
Wald ratio,1,44.254108293323874,0.06998401439012897,0.046352313806659336,0.13108735618578926,1.072491036693881,ZNF468
Wald ratio,1,54.7037261822188,0.01880130191786506,0.050356925191591996,0.7088799299797408,1.0189791592962667,TMC4
Wald ratio,1,27.8397056538111,0.20665132319149168,0.08653335190187017,0.01693518676004313,1.2295537801422975,ZNF211
Wald ratio,1,26.989028928833715,-0.12110905895320087,0.08158717864696595,0.13769941944294928,0.8859373349257302,ZNF497
Wald ratio,1,35.13787092457126,0.10804410666768766,0.1441454333135517,0.45352620414547684,1.1140968834038107,IDH3B
Wald ratio,1,24.18635846309639,0.13429484524396038,0.11515863638543605,0.24354467239167965,1.143729993284077,VPS16
Wald ratio,1,31.89324955594158,-0.20193640382147438,0.1538993298160559,0.18947523148003897,0.8171468937095411,CHGB
Wald ratio,1,85.02770409702639,-0.12702599154048919,0.05697480536995035,0.02577988195744152,0.8807107812697371,FTCD
Wald ratio,1,139.79504016161155,-0.03265246969361136,0.0343165504424477,0.3413465976074681,0.9678748669962121,TOP3BP1
Wald ratio,1,31.365265684946955,0.2691865234950435,0.12512272177172618,0.031446217009511335,1.3088992587433166,LIMK2
Wald ratio,1,25.458682873815302,0.2459733648135168,0.1046456634817575,0.01874641073836325,1.2788655102667466,ATF4
Wald ratio,1,48.64006247452975,0.0970476249242306,0.12383242531042768,0.433215436397854,1.10191285088742,CYB5R3
Wald ratio,1,23.284550397785424,0.07239566682803408,0.15991998611631245,0.6507652789339549,1.0750806336659748,KIAA0930
Wald ratio,1,53.985975100804175,-0.0427975596228508,0.05417314576715575,0.42951941932144067,0.9581053296400491,RPL23AP82
