Method,nSNP,Min_F,Beta,SE,P,OR,Gene
Wald ratio,1,88.90038368999998,-1.4176926829785654,0.5262258211630447,0.0070583936292858,0.242272371665563,KLHL8
IVW,2,42.65918596,-1.5607863724264368,0.5802450697008844,0.0071478910991225,0.2099708909436845,AC105344.2
IVW,4,38.64362896,0.2557097962742511,0.0952759149441505,0.0072771682465546,1.2913779108745946,OXLD1
Wald ratio,1,189.92422969000003,-0.908424749479367,0.3389211032340926,0.0073546792899779,0.4031588002041132,RP11-15A1.3
Wald ratio,1,120.92741089000002,1.3659853410568623,0.509776642083534,0.007371543024653,3.919583276189525,C11orf49
IVW,3,24.22214656,-0.9513475265543764,0.3551389407651128,0.0073885683863346,0.3862202306256185,MAPK13
Wald ratio,1,125.55874808999998,-2.177943651664837,0.8131149545304455,0.0073948591795702,0.113274222569621,RP4-694B14.5
IVW,2,48.48197641,-0.4724305429369403,0.1764698500704752,0.0074258563791049,0.6234850180518052,ICA1L
IVW,2,79.92896409000001,0.4422497283061526,0.1652016428465617,0.0074278018254165,1.5562043201813134,DAPP1
IVW,4,45.268675240000015,0.3088067030647471,0.1154581237409613,0.0074813810568934,1.3617991134657894,DLL1
Wald ratio,1,57.65061184000002,2.182194947845327,0.818343325255505,0.0076622629984304,8.865744765032108,RP11-498D10.6
Wald ratio,1,78.021889,2.524343484659798,0.9469990943054456,0.0076845593311589,12.48269749052973,APOM
Wald ratio,1,74.04774601,2.591198940163391,0.9720796969239172,0.0076845593311589,13.34576278605982,NEU1
IVW,3,23.01792529,-0.7527802417944393,0.2825402562739911,0.0077142040156101,0.471055083454427,AC008592.3
IVW,2,232.72112704,0.5201606425334873,0.1953441927333587,0.0077495666954718,1.6822978765863144,CWC15
IVW,3,22.06462729,-0.4674993960993656,0.1756108123921686,0.0077647116087216,0.626567107098283,ADO
IVW,3,23.43237649,-0.4202958632556149,0.1581371239357597,0.007865400659315,0.6568524525583374,CTC-484P3.1
IVW,2,36.99558976,-0.6329688792563175,0.2381613799508315,0.007866866014945,0.5310129451327313,GCM1
Wald ratio,1,98.21801025000002,-1.4217549064123909,0.5354494324201604,0.0079248422496098,0.2412902034040954,RP11-1079K10.3
IVW,4,30.051227610000005,0.2540693910645831,0.0957228539745429,0.007949228249416,1.2892612643755632,SRR
IVW,4,27.099312490000003,-0.4686225008463356,0.1766673413703763,0.0079881547546378,0.6258638016227916,C4B
IVW,4,33.02685961,-0.447327266568268,0.1687424931504806,0.008026663221172,0.6393346411796129,C2orf42
IVW,2,35.98320196000001,1.5638371687977497,0.5905816823373725,0.0080978904462107,4.777116724506712,IGSF9
IVW,2,22.48277056,0.789926262787338,0.2986059983536984,0.0081599282747824,2.2032339599350554,SH3BGRL3
Wald ratio,1,23.19096649,15.710994040326431,5.95638557219096,0.0083477172963153,6655765.572109118,KIRREL2
Wald ratio,1,72.59892025,-1.4941366586467928,0.567245607652133,0.0084380349554189,0.2244422914212325,ACE
Wald ratio,1,22.45717321,-3.672248665302074,1.3944090822764776,0.0084496924856687,0.0254192462552698,IGHV3-15
IVW,2,39.64591225,1.081814971627643,0.4109639862767728,0.008478800184648,2.9500289139056446,GOLPH3L
Wald ratio,1,27.888961,-3.067276046203371,1.1666903995455409,0.0085626219844725,0.0465477763156565,ATP2B1
Wald ratio,1,250.83274129,-0.8523414637226365,0.3253208862397949,0.0087929179049346,0.4264153261181411,NUP160
Wald ratio,1,35.334702490000005,-2.2302627727402724,0.8513354642262335,0.0088001313345527,0.1075001783076187,IGLV1-36
IVW,2,28.73174404,0.4926153154393111,0.1881638935576071,0.0088443716656774,1.636590829056373,MYRF
Wald ratio,1,431.16030735999993,-0.6470677698368361,0.247236414247462,0.0088653721560425,0.5235787815973032,NAGLU
Wald ratio,1,137.44279695999998,1.0683218806509946,0.4082084342693371,0.0088680619758929,2.9104912479107234,ARHGAP5-AS1
Wald ratio,1,264.44939161,0.922688628020096,0.3525936575676888,0.0088742443590164,2.5160460160024614,EARS2
Wald ratio,1,60.74799481,-4.13012252857931,1.579497927919837,0.0089271220492217,0.0160809083310183,SAMD8
Wald ratio,1,34.406436490000004,2.0814077092248158,0.7971415176364287,0.0090254315478564,8.01574481375853,RP11-580I16.2
Wald ratio,1,51.337225,1.8268290300069785,0.7005598046057222,0.0091160698679766,6.214150498912929,HS3ST3A1
IVW,2,23.849548960000003,0.552852060136024,0.2120157760925933,0.009117978212592,1.738203415765904,CERS2
Wald ratio,1,39.18384409,-2.4253804495423106,0.9301827244117132,0.009122640829823,0.0884444639846247,PTPN9
IVW,3,24.51141081,0.6361178872193164,0.2440564129778027,0.0091489409323441,1.8891327989119349,TMEM255B
IVW,3,64.754209,0.2337841364662694,0.0897958874763508,0.0092275638541627,1.2633717468812549,SYNM
IVW,2,37.72293560999999,-0.5381431136203627,0.2067204720654933,0.0092347136668569,0.5838313549545813,ASLP1
Wald ratio,1,110.02751236,1.3264728201803726,0.5095961446793906,0.0092415098011664,3.7677304599819466,RER1
IVW,2,373.09626649,-0.5926684525524597,0.2276984564544123,0.0092448219106062,0.5528500605046075,MAP10
IVW,2,27.50163364,1.46518472447008,0.5634091980089257,0.0093069189929693,4.328342717271792,SLC35E4
Wald ratio,1,1019.51851401,0.3966418811208303,0.1526796576249847,0.0093804037357081,1.4868233751773792,TMEM194B
IVW,2,37.64804164,1.9363527521579416,0.7475097773249655,0.0095863193115057,6.933416909060584,HCP5
IVW,2,190.80173161,-0.5516873654799794,0.2132707339289679,0.0096873606252316,0.5759771060713972,CSTF3
Wald ratio,1,287.00086921,-0.7625155155214244,0.2948556115010241,0.009707887116479,0.4664914832680955,GOLGA4
IVW,4,42.97982481000002,0.4251836067837487,0.1644768301879104,0.0097360109088815,1.5298712886247203,CYB5R3
IVW,5,21.99234816,0.4064367189693864,0.1572553787945406,0.0097501976632063,1.501458124541945,WWOX
IVW,3,25.392528810000005,0.6994412211897144,0.2707658431713355,0.0097889716522137,2.0126277794506278,TRIP6
IVW,3,27.31943824,-2.145081691073722,0.8310814533460167,0.0098493823842087,0.1170584740210938,PVR
Wald ratio,1,167.89939775999997,-0.9725270729147372,0.3768639254182873,0.0098634830299804,0.3781262770370238,MIB2
IVW,3,28.41636249,0.3776984985148839,0.1465701168983649,0.0099686921797308,1.4589230091048715,GPR65
IVW,3,24.85521025,0.386075335412945,0.1498583041723873,0.0099872852384739,1.4711954997605157,HORMAD1
IVW,2,25.56414721,1.4955580906356554,0.5805751062305872,0.0099952330726593,4.461825961412396,UNC5CL
IVW,3,24.35718609,0.3036314083862919,0.1179033520847338,0.010016568920838,1.3547696073332451,DUTP6
Wald ratio,1,66.68355600000001,1.7456337496938523,0.6781634337496938,0.0100512677561959,5.729531413843072,FAF2
IVW,3,27.789766560000004,1.4623274548091534,0.5689819506107591,0.0101675897170594,4.315993126401126,CENPB
IVW,2,36.12611025,-1.2995425275775263,0.5058116651659962,0.0101927096535237,0.2726564973357875,RTEL1-TNFRSF6B
Wald ratio,1,240.3151044100001,1.9963153379219587,0.7771208029879823,0.0102033369668288,7.361880022206925,TAC4
