Method_Brain,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene,Method_Blood,nSNP,Min_F,Beta,SE,P,OR,Consistent
Wald ratio,1,62.37559965156567,-0.1049205233675768,0.0532436594390128,0.0487727253119774,0.9003960801909499,EIF3EP1,Wald ratio,1,233.43867369000003,-0.9461737975089504,0.4801515835771368,0.0487727253119774,0.3882236074463849,True
Wald ratio,1,36.04759868333739,0.2291176650584959,0.0669477565508307,0.0006208571747663,1.2574899929387418,SMPD2,IVW,2,54.79256484,0.2919761055217467,0.1215195634264875,0.0162741478283534,1.3390710208536345,True
Wald ratio,1,18.481933089149877,-0.2203726096692078,0.0859124080453963,0.0103150599902512,0.8022198274017565,CENPW,Wald ratio,1,103.87890241,-0.9499835951374104,0.4610472620951522,0.039351654158221,0.3867473679398888,True
Wald ratio,1,20.489735397810005,-0.3634615884570388,0.1717379435850773,0.0343130759713405,0.6952654329212993,STX7,Wald ratio,1,416.27424784,-0.5041062109122277,0.2307592879408709,0.0289215366747881,0.6040452232545115,True
IVW,2,16.67985876888121,-0.2371087620222278,0.0736608562480968,0.0012867219400469,0.7889054803959945,PMS2P1,Wald ratio,1,145.67041636,-1.0238296187051552,0.4749149253484017,0.0310979658753645,0.3592166399119477,True
Wald ratio,1,52.80463952728866,0.2101145273182545,0.0967533489320361,0.029881981211747,1.2338193578876218,MAN1B1,IVW,3,87.99002809,0.3092235497726298,0.1350401311292265,0.0220291952869742,1.3623668932733854,True
Wald ratio,1,62.14347615260069,0.1305947732051667,0.0657815816298893,0.0471134719021286,1.13950592940546,NSUN6,IVW,4,29.003610250000005,0.358920401002506,0.1266130468167428,0.0045856948959754,1.4317828285578678,True
Wald ratio,1,64.57462003777457,-0.148254175717472,0.0696202498154561,0.0332154628247496,0.8622119337510831,SAR1A,IVW,3,27.12118084,-0.3380585834296595,0.1591624150592269,0.0336713972123161,0.7131535076961258,True
Wald ratio,1,102.69319645037083,-0.1550633189147727,0.0609771548179426,0.0109913409496065,0.8563609519207503,SIGIRR,IVW,2,37.26125764,-0.4379012123080213,0.1762108110902414,0.0129515613496917,0.6453895362509308,True
Wald ratio,1,17.25917716907746,-0.3839579374756296,0.1713094714951507,0.0250058860646258,0.6811600778893586,ACP2,IVW,5,23.31151524,-0.4623584961136193,0.2258217430441887,0.0406140220149597,0.6297965198617789,True
Wald ratio,1,161.00382948557413,0.1575214382444673,0.0649424618808588,0.0152850480533273,1.1706058534471524,PAAF1,IVW,7,23.677956,0.602972212410763,0.2848012708319707,0.0342455697117509,1.827542580823846,True
